BLOCK	ACTUAL_P	P_AVE	ERROR
316	5.07619	4.98676	0.0179957
317	5.14585	4.98726	0.0179459
318	4.64866	4.9862	0.017921
319	4.91306	4.98597	0.0178663
320	5.05105	4.98617	0.0178117
321	5.10883	4.98655	0.0177603
322	5.45524	4.98801	0.0177647
323	4.77282	4.98734	0.0177221
324	5.29404	4.98829	0.0176927
325	5.01826	4.98838	0.0176385
326	4.80557	4.98782	0.0175933
327	5.15814	4.98834	0.0175472
328	5.01169	4.98841	0.0174939
329	4.88393	4.98809	0.0174436
330	5.05545	4.9883	0.0173919
331	4.72495	4.9875	0.0173576
332	5.13711	4.98795	0.0173111
333	4.96393	4.98788	0.0172593
334	5.10005	4.98822	0.0172109
335	5.23298	4.98895	0.017175
336	5.20228	4.98958	0.0171356
337	4.56904	4.98834	0.0171302
338	5.4307	4.98964	0.0171294
339	4.90026	4.98938	0.0170809
340	5.04736	4.98955	0.0170315
341	5.4721	4.99097	0.0170403
342	4.92491	4.99077	0.0169915
343	5.06853	4.991	0.0169435
344	4.98825	4.99099	0.0168942
345	5.0193	4.99107	0.0168455
346	5.39193	4.99223	0.0168366
347	5.17755	4.99277	0.0167965
348	4.95762	4.99267	0.0167486
349	5.07439	4.9929	0.0167022
350	4.83419	4.99245	0.0166606
351	4.50106	4.99105	0.0166719
352	4.77353	4.99043	0.016636
353	5.16002	4.99091	0.0165958
354	4.96194	4.99083	0.0165491
355	5.13874	4.99124	0.0165077
356	4.79067	4.99068	0.016471
357	5.43878	4.99193	0.0164726
358	4.85755	4.99156	0.0164309
359	5.06933	4.99178	0.0163865
360	5.11495	4.99212	0.0163446
361	4.92291	4.99193	0.0163004
362	4.82429	4.99146	0.016262
363	5.08782	4.99173	0.0162193
364	5.14555	4.99215	0.0161803
365	5.27583	4.99293	0.0161546
366	4.63787	4.99196	0.0161396
367	5.03475	4.99208	0.016096
368	4.78937	4.99152	0.0160617
369	5.17735	4.99203	0.0160261
370	4.99952	4.99205	0.0159828
371	5.0932	4.99232	0.015942
372	5.253	4.99302	0.0159145
373	4.8469	4.99263	0.0158767
374	4.86093	4.99228	0.0158382
375	5.03174	4.99238	0.0157963
376	4.87871	4.99208	0.0157572
377	4.97717	4.99204	0.0157154
378	4.83308	4.99162	0.0156795
379	5.50894	4.99299	0.0156974
380	5.74926	4.99498	0.0157817
381	4.40899	4.99344	0.0158151
382	4.75692	4.99282	0.0157858
383	4.47289	4.99146	0.0158028
384	5.03079	4.99156	0.015762
385	5.37777	4.99257	0.015753
386	5.24617	4.99322	0.0157259
387	5.07574	4.99344	0.0156867
388	5.44807	4.99461	0.0156899
389	4.89847	4.99436	0.0156515
390	4.79145	4.99384	0.0156201
391	4.44455	4.99244	0.0156432
392	4.75495	4.99183	0.015615
393	4.73112	4.99117	0.0155893
394	4.67731	4.99037	0.0155701
395	4.84085	4.98999	0.0155353
396	5.4707	4.99121	0.0155434
397	5.02504	4.99129	0.0155045
398	5.01766	4.99136	0.0154657
399	5.37686	4.99232	0.0154571
400	5.1436	4.9927	0.015423
401	4.58181	4.99168	0.0154186
402	4.85514	4.99134	0.015384
403	5.74651	4.99321	0.0154595
404	5.25526	4.99386	0.0154348
405	4.9088	4.99365	0.0153982
406	4.99281	4.99365	0.0153602
407	5.49304	4.99487	0.0153714
408	4.64129	4.99401	0.0153582
409	5.68427	4.9957	0.0154131
410	5.09606	4.99594	0.0153774
411	4.93509	4.99579	0.0153407
412	4.96817	4.99573	0.0153036
413	4.85205	4.99538	0.0152705
414	5.25689	4.99601	0.0152467
415	5.40584	4.997	0.0152419
416	5.20145	4.99749	0.0152132
417	4.41962	4.9961	0.0152397
418	5.10261	4.99636	0.0152054
419	4.90233	4.99613	0.0151707
420	5.22076	4.99667	0.015144
421	4.88233	4.9964	0.0151105
422	5.09368	4.99663	0.0150764
423	5.20339	4.99712	0.0150487
424	5.11487	4.99739	0.0150158
425	5.33544	4.99819	0.0150015
426	5.0804	4.99838	0.0149675
427	5.64204	4.99989	0.0150082
428	4.74434	4.99929	0.014985
429	4.7139	4.99863	0.0149648
430	5.14201	4.99896	0.0149337
431	5.01712	4.999	0.0148992
432	5.13536	4.99932	0.014868
433	5.07829	4.9995	0.0148348
434	4.81235	4.99907	0.0148069
435	4.78594	4.99858	0.0147809
436	5.11246	4.99884	0.0147493
437	4.94412	4.99872	0.0147161
438	5.05145	4.99884	0.014683
439	4.71339	4.99819	0.014664
440	5.16529	4.99857	0.0146356
441	4.49368	4.99742	0.0146471
442	5.211	4.9979	0.0146219
443	5.4072	4.99883	0.0146181
444	4.5809	4.99789	0.0146154
445	4.82585	4.9975	0.0145877
446	4.93173	4.99735	0.0145557
447	4.55372	4.99636	0.014557
448	4.63211	4.99555	0.0145471
449	5.21928	4.99604	0.0145233
450	4.7196	4.99543	0.014504
451	5.34301	4.9962	0.0144923
452	5.54089	4.99741	0.0145102
453	4.48097	4.99627	0.0145229
454	4.98202	4.99623	0.014491
455	5.30704	4.99692	0.0144752
456	4.95236	4.99682	0.0144438
457	5.48249	4.99788	0.0144512
458	4.68433	4.9972	0.0144359
459	5.74891	4.99884	0.014497
460	4.63501	4.99805	0.0144871
461	4.90622	4.99785	0.014457
