BLOCK	ACTUAL_P	P_AVE	ERROR
245	1.46909	1.51537	0.00762777
246	1.38792	1.51485	0.00761433
247	1.6545	1.51541	0.00760447
248	1.39512	1.51493	0.00758926
249	1.2694	1.51394	0.00762257
250	1.45097	1.51369	0.00759624
251	1.28999	1.5128	0.00761808
252	1.21283	1.51161	0.00768028
253	1.54625	1.51175	0.00765114
254	1.43631	1.51145	0.00762678
255	1.5428	1.51157	0.00759787
256	1.57679	1.51183	0.00757246
257	1.49126	1.51175	0.00754341
258	1.458	1.51154	0.00751705
259	1.80025	1.51265	0.00757023
260	1.28587	1.51178	0.0075912
261	1.69355	1.51248	0.00759399
262	1.51996	1.51251	0.00756506
263	1.74823	1.5134	0.00758921
264	1.24563	1.51239	0.00762794
265	1.43939	1.51211	0.00760413
266	1.44741	1.51187	0.00757943
267	1.63539	1.51233	0.00756515
268	1.57693	1.51257	0.00754076
269	1.51778	1.51259	0.00751275
270	1.57021	1.51281	0.00748795
271	1.60557	1.51315	0.00746814
272	1.56592	1.51334	0.00744321
273	1.50628	1.51332	0.00741599
274	1.53105	1.51338	0.0073892
275	1.57405	1.5136	0.00736563
276	1.35053	1.51301	0.0073626
277	1.37387	1.51251	0.00735314
278	1.44369	1.51226	0.00733085
279	1.5814	1.51251	0.00730876
280	1.34508	1.51191	0.00730708
281	1.62058	1.5123	0.0072913
282	1.63168	1.51272	0.00727772
283	1.60048	1.51303	0.00725861
284	1.48384	1.51293	0.00723378
285	1.46204	1.51275	0.0072106
286	1.40772	1.51238	0.00719474
287	1.4362	1.51212	0.00717456
288	1.42819	1.51182	0.00715557
289	1.41233	1.51148	0.00713908
290	1.54988	1.51161	0.00711569
291	1.49342	1.51155	0.00709152
292	1.60614	1.51187	0.00707462
293	1.62558	1.51226	0.00706111
294	1.61249	1.5126	0.00704532
295	1.43921	1.51235	0.00702583
296	1.56204	1.51252	0.0070041
297	1.62563	1.5129	0.00699086
298	1.69081	1.5135	0.00699285
299	1.5228	1.51353	0.00696953
300	1.42734	1.51324	0.00695222
301	1.39065	1.51284	0.00694104
302	1.65012	1.51329	0.00693293
303	1.57554	1.5135	0.00691309
304	1.22941	1.51256	0.00695322
305	1.53732	1.51264	0.0069309
306	1.38395	1.51222	0.006921
307	1.47312	1.5121	0.00689963
308	1.32894	1.5115	0.0069028
309	1.62833	1.51188	0.00689081
310	1.59438	1.51214	0.00687372
311	1.4129	1.51183	0.00685902
312	1.63299	1.51221	0.00684802
313	1.52225	1.51225	0.00682622
314	1.64591	1.51267	0.00681774
315	1.48137	1.51257	0.00679682
316	1.38576	1.51217	0.00678715
317	1.53791	1.51225	0.00676623
318	1.36684	1.5118	0.00676038
