BLOCK	ACTUAL_P	P_AVE	ERROR
428	0.637836	0.726317	0.0159712
429	0.901213	0.726725	0.0159392
430	0.424019	0.726021	0.0159177
431	0.896069	0.726415	0.0158856
432	1.08287	0.727241	0.0158703
433	1.24038	0.728426	0.0158778
434	1.36222	0.729886	0.0159083
435	0.736654	0.729901	0.0158717
436	0.428119	0.729209	0.0158504
437	1.1574	0.730189	0.0158444
438	0.699079	0.730118	0.0158083
439	0.394137	0.729353	0.0157908
440	0.440735	0.728697	0.0157686
441	0.359999	0.727861	0.015755
442	0.528421	0.72741	0.0157258
443	0.84533	0.727676	0.0156925
444	0.951523	0.72818	0.0156653
445	0.619043	0.727935	0.015632
446	0.434851	0.727278	0.0156108
447	0.310731	0.726346	0.0156036
448	0.558191	0.72597	0.0155733
449	1.19297	0.72701	0.0155733
450	0.25121	0.725953	0.0155746
451	0.823881	0.72617	0.0155415
452	0.447805	0.725554	0.0155194
453	0.408861	0.724855	0.0155008
454	0.422584	0.724189	0.015481
455	1.18703	0.725207	0.0154804
456	0.606782	0.724947	0.0154486
457	0.51712	0.724492	0.0154215
458	0.751937	0.724552	0.0153879
459	0.752788	0.724614	0.0153545
460	1.21192	0.725673	0.0153576
461	1.15178	0.726597	0.0153521
462	1.10776	0.727422	0.015341
463	0.942393	0.727887	0.0153149
464	0.64132	0.7277	0.0152831
465	0.564321	0.727349	0.0152542
466	0.523662	0.726912	0.0152278
467	1.15522	0.727829	0.0152227
468	0.637158	0.727635	0.0151914
469	0.72029	0.727619	0.0151591
470	0.367889	0.726854	0.0151461
471	1.3275	0.728129	0.0151676
472	1.01678	0.728741	0.0151477
473	0.755601	0.728798	0.0151158
474	0.700722	0.728738	0.015084
475	1.25988	0.729857	0.0150937
476	0.79273	0.729989	0.0150625
477	0.782249	0.730098	0.0150314
478	0.731175	0.7301	0.0149999
479	0.858529	0.730369	0.014971
480	1.02135	0.730975	0.0149521
481	0.707222	0.730925	0.0149211
482	0.719863	0.730902	0.0148901
483	1.25512	0.731988	0.0148988
484	0.747378	0.73202	0.0148681
485	0.480954	0.731502	0.0148464
486	0.363145	0.730744	0.0148352
487	0.656795	0.730592	0.0148055
488	1.31196	0.731783	0.014823
489	0.722252	0.731764	0.0147927
490	0.552948	0.731399	0.014767
491	0.959559	0.731864	0.0147443
492	0.603012	0.731602	0.0147166
493	0.966066	0.732077	0.0146945
494	1.05563	0.732732	0.0146793
495	0.458272	0.732178	0.0146601
496	0.389382	0.731487	0.0146468
497	0.552189	0.731126	0.0146218
498	1.25878	0.732186	0.0146308
499	0.558392	0.731837	0.0146056
500	0.658678	0.731691	0.0145771
501	0.603379	0.731435	0.0145503
502	0.851476	0.731674	0.0145233
503	0.695128	0.731601	0.0144946
504	0.729135	0.731596	0.0144658
505	1.85648	0.733824	0.0146077
506	0.806948	0.733968	0.0145795
507	0.581341	0.733667	0.0145539
508	1.04951	0.734289	0.0145385
509	0.901791	0.734618	0.0145137
510	0.591745	0.734338	0.0144879
511	1.00665	0.734871	0.0144693
512	1.11422	0.735612	0.01446
513	0.830512	0.735797	0.014433
514	1.02049	0.736351	0.0144156
515	1.20552	0.737262	0.0144163
516	0.739697	0.737267	0.0143884
517	0.785987	0.737361	0.0143609
518	0.357598	0.736628	0.0143519
519	0.433102	0.736043	0.0143361
520	0.296816	0.735198	0.0143334
521	0.323273	0.734407	0.0143277
522	0.49802	0.733955	0.0143074
523	0.430628	0.733375	0.0142918
524	0.443007	0.732821	0.0142753
525	0.529766	0.732434	0.0142533
526	0.78684	0.732537	0.0142266
527	0.856243	0.732772	0.0142015
528	0.488485	0.732309	0.0141822
529	0.238006	0.731375	0.0141861
530	0.728781	0.73137	0.0141593
531	0.983527	0.731845	0.0141406
532	1.41773	0.733134	0.0141727
533	0.539521	0.732771	0.0141508
534	0.453617	0.732248	0.0141339
535	0.29655	0.731434	0.0141309
536	0.538491	0.731074	0.0141092
537	0.771044	0.731148	0.0140831
538	0.968193	0.731589	0.0140638
539	0.718689	0.731565	0.0140377
540	0.560921	0.731249	0.0140153
541	0.75674	0.731296	0.0139895
542	0.671305	0.731185	0.0139641
543	0.640173	0.731018	0.0139394
544	0.649017	0.730867	0.0139146
545	0.745627	0.730894	0.0138891
546	0.613818	0.73068	0.0138653
547	0.102221	0.729531	0.0138875
548	0.873231	0.729793	0.0138646
549	1.33282	0.730891	0.0138828
550	0.708292	0.73085	0.0138576
551	0.90075	0.731159	0.0138359
552	0.479947	0.730703	0.0138183
553	0.718961	0.730682	0.0137933
554	0.611213	0.730467	0.0137701
555	0.712993	0.730435	0.0137453
556	1.25245	0.731374	0.0137526
557	0.701776	0.731321	0.0137281
558	0.285843	0.730522	0.0137266
559	0.758601	0.730573	0.0137022
560	0.324899	0.729848	0.0136969
561	0.984035	0.730301	0.0136799
562	1.16067	0.731067	0.013677
563	1.30845	0.732093	0.0136911
564	1.32831	0.73315	0.0137076
565	0.29879	0.732381	0.0137049
566	0.450609	0.731883	0.0136897
567	0.313457	0.731145	0.0136854
568	0.63796	0.730981	0.0136623
569	0.735249	0.730989	0.0136383
570	0.339401	0.730302	0.0136317
571	1.23229	0.731181	0.0136361
572	0.353155	0.73052	0.0136283
573	0.513569	0.730141	0.0136097
574	1.46035	0.731413	0.0136454
575	0.0872141	0.730293	0.0136675
576	1.31843	0.731314	0.0136819
577	0.506446	0.730924	0.0136637
578	0.387406	0.73033	0.013653
579	0.637689	0.73017	0.0136304
580	0.575224	0.729903	0.0136095
581	1.1286	0.730589	0.0136034
582	0.348484	0.729933	0.0135958
583	0.733619	0.729939	0.0135725
584	0.344837	0.72928	0.0135653
585	1.04725	0.729823	0.013553
586	1.14065	0.730524	0.013548
587	0.647917	0.730383	0.0135256
588	0.373603	0.729777	0.0135162
589	1.58132	0.731222	0.0135704
590	0.760589	0.731272	0.0135475
591	1.4284	0.732452	0.0135758
592	1.39642	0.733573	0.0135991
593	1.25945	0.73446	0.0136051
594	0.920759	0.734774	0.0135858
595	0.491701	0.734365	0.0135691
596	1.01305	0.734833	0.0135544
597	0.747617	0.734854	0.0135317
598	0.839336	0.735029	0.0135102
599	0.529663	0.734686	0.013492
600	0.689079	0.73461	0.0134697
601	0.710275	0.73457	0.0134474
602	0.527999	0.734226	0.0134294
603	0.812435	0.734356	0.0134077
604	1.28631	0.73527	0.0134167
605	0.334763	0.734608	0.0134108
606	0.464644	0.734163	0.0133961
607	0.645363	0.734016	0.0133748
