BLOCK	ACTUAL_V	V_AVE	ERROR
309	4.86187	4.99616	0.0529817
310	6.83543	5.0021	0.053142
311	4.0172	4.99893	0.0530654
312	4.9817	4.99887	0.0528953
313	5.85398	5.00161	0.0527968
314	4.03058	4.99851	0.0527192
315	3.61889	4.99413	0.0527334
316	3.78438	4.99031	0.0527053
317	5.15913	4.99084	0.0525418
318	5.31953	4.99187	0.0523867
319	5.59091	4.99375	0.0522561
320	4.3798	4.99183	0.052128
321	4.90368	4.99156	0.0519664
322	4.06151	4.98867	0.0518852
323	4.57311	4.98738	0.0517405
324	5.53636	4.98908	0.0516085
325	6.35807	4.99329	0.0516214
326	8.59328	5.00433	0.0526309
327	6.04413	5.00751	0.0525659
328	5.82804	5.01001	0.0524652
329	6.72202	5.01522	0.0525631
330	3.59229	5.0109	0.0525804
331	4.60129	5.00967	0.0524361
332	4.30119	5.00753	0.0523216
333	6.17115	5.01103	0.052281
334	5.89748	5.01368	0.0521918
335	5.0774	5.01387	0.0520364
336	5.85759	5.01638	0.051942
337	5.57707	5.01805	0.0518145
338	4.86899	5.01761	0.0516631
339	4.45501	5.01595	0.0515374
340	4.88105	5.01555	0.0513873
341	4.29569	5.01344	0.05128
342	4.79324	5.01279	0.0511341
343	3.35623	5.00796	0.0512126
344	7.30351	5.01464	0.0514966
345	8.29084	5.02413	0.0522156
346	5.9936	5.02694	0.0521398
347	6.84608	5.03218	0.0522524
348	3.64215	5.02818	0.0522547
349	5.34534	5.02909	0.0521129
350	5.09539	5.02928	0.0519643
351	3.74226	5.02562	0.0519455
352	4.88493	5.02522	0.0517995
353	6.65937	5.02985	0.0518592
354	4.94284	5.0296	0.0517133
355	5.7094	5.03151	0.051603
356	4.71286	5.03062	0.0514658
357	4.91979	5.03031	0.0513226
358	4.45398	5.0287	0.0512045
359	5.58096	5.03024	0.051085
360	5.42037	5.03132	0.0509546
361	3.98625	5.02843	0.0508956
362	4.74737	5.02765	0.0507609
363	4.01211	5.02485	0.0506981
364	4.19677	5.02258	0.0506098
365	5.06268	5.02269	0.0504713
366	4.20253	5.02045	0.0503831
367	4.30345	5.01849	0.0502837
368	4.12154	5.01606	0.0502061
369	4.10909	5.0136	0.0501302
370	4.82981	5.0131	0.0499972
371	6.06866	5.01595	0.0499433
372	6.69932	5.02047	0.0500136
373	6.50104	5.02444	0.0500368
374	4.92002	5.02416	0.0499038
375	4.09925	5.02169	0.0498316
