BLOCK	ACTUAL_V	V_AVE	ERROR
317	5.01924	4.99774	0.0530899
318	4.94304	4.99757	0.0529232
319	5.18207	4.99815	0.0527605
320	3.72218	4.99416	0.0527461
321	5.85957	4.99686	0.0526506
322	4.5847	4.99558	0.0525027
323	5.50408	4.99715	0.0523637
324	5.75589	4.99949	0.0522544
325	6.03846	5.00269	0.0521913
326	5.01836	5.00274	0.0520313
327	6.23952	5.00652	0.0520094
328	5.76446	5.00883	0.0519022
329	5.33075	5.00981	0.0517536
330	4.54259	5.00839	0.0516162
331	5.46096	5.00976	0.0514783
332	5.46216	5.01112	0.0513413
333	4.30576	5.009	0.0512308
334	5.55105	5.01063	0.0511031
335	7.03205	5.01666	0.0513056
336	6.25336	5.02034	0.0512848
337	4.32269	5.01827	0.0511743
338	5.12479	5.01859	0.0510239
339	6.35043	5.02252	0.0510244
340	4.08549	5.01976	0.0509487
341	4.19404	5.01734	0.0508568
342	4.80149	5.01671	0.050712
343	4.74334	5.01591	0.0505704
344	6.92037	5.02145	0.0507256
345	5.68623	5.02337	0.0506151
346	7.3642	5.03014	0.050919
347	5.35856	5.03109	0.050781
348	4.6547	5.03	0.0506466
349	3.74866	5.02633	0.0506344
350	4.48112	5.02477	0.0505137
351	5.53307	5.02622	0.0503905
352	4.24178	5.02399	0.0502966
353	4.03621	5.0212	0.0502319
354	6.14412	5.02437	0.0501901
355	5.36893	5.02534	0.0500581
356	4.82065	5.02476	0.0499208
357	4.14172	5.02229	0.0498422
358	4.59659	5.0211	0.0497172
359	5.5625	5.02261	0.0496015
360	4.23795	5.02043	0.0495116
361	7.56325	5.02747	0.049873
362	5.36514	5.02841	0.0497439
363	3.85574	5.02518	0.0497117
364	3.73036	5.02162	0.0497022
365	5.68773	5.02344	0.0495996
366	5.30695	5.02422	0.0494701
367	4.33878	5.02235	0.0493705
368	4.78953	5.02172	0.0492404
369	6.60373	5.02601	0.0492933
370	5.90333	5.02838	0.049217
371	3.73898	5.0249	0.0492069
372	7.43402	5.03138	0.049499
373	4.57954	5.03017	0.0493811
374	3.42042	5.02586	0.0494363
375	6.5162	5.02984	0.049464
376	4.35388	5.02804	0.0493651
377	4.89972	5.0277	0.0492353
378	4.88216	5.02731	0.0491065
379	5.82847	5.02943	0.0490225
380	4.12231	5.02704	0.0489515
381	4.79408	5.02643	0.0488269
382	5.30086	5.02715	0.0487043
383	5.03763	5.02717	0.0485772
384	4.50723	5.02582	0.0484695
385	4.68673	5.02494	0.0483517
386	3.37206	5.02066	0.0484156
387	6.04481	5.0233	0.0483628
388	4.78797	5.0227	0.048242
389	5.3876	5.02363	0.0481271
390	6.97425	5.02864	0.0482628
391	6.33271	5.03197	0.0482545
392	6.97879	5.03694	0.0483863
393	3.50214	5.03303	0.0484205
394	7.25413	5.03867	0.0486247
395	4.90032	5.03832	0.0485029
396	5.83894	5.04034	0.0484225
397	4.29027	5.03845	0.0483374
398	4.62283	5.03741	0.0482272
399	5.05913	5.03746	0.0481064
400	4.50628	5.03613	0.0480044
401	4.81153	5.03557	0.047888
402	5.25437	5.03612	0.0477719
403	3.403	5.03207	0.047825
404	6.61049	5.03597	0.0478659
405	5.41486	5.03691	0.0477569
406	6.22768	5.03984	0.0477292
407	4.33766	5.03812	0.0476431
408	8.78969	5.04731	0.0484055
409	5.27202	5.04786	0.0482903
410	4.21986	5.04584	0.0482147
411	5.63679	5.04728	0.0481188
412	5.06377	5.04732	0.0480021
413	6.52186	5.05089	0.0480184
414	4.6231	5.04986	0.0479136
415	5.1626	5.05013	0.0477989
416	5.19141	5.05047	0.0476852
417	5.11331	5.05062	0.0475711
418	5.22675	5.05104	0.0474591
419	4.35744	5.04938	0.0473747
420	6.30233	5.05237	0.0473558
421	4.81572	5.05181	0.0472466
422	5.941	5.05391	0.0471816
423	6.19069	5.0566	0.0471465
424	4.68038	5.05571	0.0470437
425	4.71652	5.05491	0.0469398
426	3.93147	5.05228	0.0469036
427	4.29951	5.05051	0.0468269
428	4.05271	5.04818	0.0467755
429	5.4274	5.04907	0.0466748
430	6.38627	5.05218	0.0466697
431	4.33649	5.05052	0.046591
432	4.47422	5.04918	0.0465022
433	3.43114	5.04545	0.0465447
434	4.1951	5.04349	0.0464787
435	4.84704	5.04303	0.0463741
436	4.05119	5.04076	0.0463235
437	5.54548	5.04191	0.0462318
438	6.02125	5.04415	0.0461803
439	4.16135	5.04214	0.0461189
440	5.31002	5.04275	0.0460181
441	4.86899	5.04235	0.0459154
442	3.27018	5.03834	0.0459863
443	4.9204	5.03808	0.0458832
444	5.27372	5.03861	0.045783
445	4.62882	5.03769	0.0456894
446	4.54585	5.03659	0.0456002
447	4.83559	5.03614	0.0455004
448	4.20683	5.03428	0.0454365
449	5.31375	5.03491	0.0453396
450	4.2059	5.03307	0.0452762
451	4.39085	5.03164	0.0451982
452	3.68877	5.02867	0.0451958
453	5.68838	5.03013	0.0451194
454	4.11643	5.02811	0.0450649
455	4.00098	5.02586	0.0450224
456	5.40625	5.02669	0.0449314
457	4.99935	5.02663	0.0448331
458	6.96562	5.03086	0.0449347
459	5.57722	5.03205	0.0448525
460	4.10335	5.03004	0.0448004
461	5.23843	5.03049	0.0447055
462	3.6782	5.02756	0.0447045
463	4.51474	5.02645	0.0446217
464	6.39734	5.02941	0.0446232
465	5.88851	5.03126	0.0445655
466	4.0783	5.02921	0.0445167
467	4.42524	5.02792	0.0444402
468	4.08572	5.0259	0.0443908
469	4.16972	5.02408	0.0443337
470	5.94331	5.02603	0.0442825
471	5.16557	5.02633	0.0441894
472	4.89554	5.02605	0.0440967
473	3.69583	5.02324	0.044093
474	4.49749	5.02213	0.044014
475	3.95086	5.01988	0.043979
476	4.29337	5.01835	0.0439131
