Gen	Best	Mean	Err
209	4.853	4.853	2.98023e-07
210	4.853	4.853	2.98023e-07
211	4.853	4.853	2.98023e-07
212	4.853	4.853	2.98023e-07
213	4.853	4.853	2.98023e-07
214	4.853	4.853	2.98023e-07
215	4.853	4.853	2.98023e-07
216	4.853	4.853	2.98023e-07
217	4.853	4.853	2.98023e-07
218	4.853	4.853	2.98023e-07
219	4.853	4.853	2.98023e-07
220	4.853	4.853	2.98023e-07
221	4.79319	4.79798	0.0162264
222	4.79319	4.79319	3.03925e-07
223	4.79319	4.79319	3.03925e-07
224	4.79319	4.79319	3.03925e-07
225	4.79319	4.79319	3.03925e-07
226	4.79319	4.79319	3.03925e-07
227	4.79319	4.79319	3.03925e-07
228	4.79319	4.79319	3.03925e-07
229	4.79319	4.79319	3.03925e-07
230	4.79319	4.79319	3.03925e-07
231	4.79319	4.79319	3.03925e-07
232	4.79319	4.79319	3.03925e-07
233	4.79319	4.79319	3.03925e-07
234	4.79319	4.79319	3.03925e-07
235	4.79319	4.79319	3.03925e-07
236	4.79319	4.79319	3.03925e-07
237	4.79319	4.79319	3.03925e-07
238	4.79319	4.79319	3.03925e-07
239	4.79319	4.79319	3.03925e-07
240	4.79319	4.79319	3.03925e-07
241	4.79319	4.79319	3.03925e-07
242	4.79319	4.79319	3.03925e-07
243	4.79319	4.79319	3.03925e-07
244	4.79319	4.79319	3.03925e-07
245	4.79319	4.79319	3.03925e-07
246	4.79319	4.79319	3.03925e-07
247	4.79319	4.79319	3.03925e-07
248	4.79319	4.79319	3.03925e-07
249	4.79319	4.79319	3.03925e-07
250	4.79319	4.79319	3.03925e-07
251	4.79319	4.79319	3.03925e-07
252	4.79319	4.79319	3.03925e-07
253	4.79319	4.79319	3.03925e-07
254	4.79319	4.79319	3.03925e-07
255	4.79319	4.79319	3.03925e-07
256	4.79319	4.79319	3.03925e-07
257	4.79319	4.79319	3.03925e-07
258	4.79319	4.79319	3.03925e-07
259	4.79319	4.79319	3.03925e-07
260	4.79319	4.79319	3.03925e-07
261	4.79319	4.79319	3.03925e-07
262	4.79319	4.79319	3.03925e-07
263	4.79319	4.79319	3.03925e-07
264	4.79319	4.79319	3.03925e-07
265	4.79319	4.79319	3.03925e-07
266	4.79319	4.79319	3.03925e-07
267	4.79319	4.79319	3.03925e-07
268	4.79319	4.79319	3.03925e-07
269	4.79319	4.79319	3.03925e-07
270	4.79319	4.79319	3.03925e-07
271	4.79319	4.79319	3.03925e-07
272	4.79319	4.79319	3.03925e-07
273	4.79319	4.79319	3.03925e-07
274	4.79319	4.79319	3.03925e-07
275	4.79319	4.79319	3.03925e-07
276	4.79319	4.79319	3.03925e-07
277	4.79319	4.79319	3.03925e-07
278	4.79319	4.79319	3.03925e-07
279	4.79319	4.79319	3.03925e-07
280	4.79319	4.79319	3.03925e-07
281	4.79319	4.79319	3.03925e-07
282	4.79319	4.79319	3.03925e-07
283	4.79319	4.79319	3.03925e-07
284	4.79319	4.79319	3.03925e-07
285	4.79319	4.79319	3.03925e-07
286	4.79319	4.79319	3.03925e-07
287	4.79319	4.79319	3.03925e-07
288	4.79319	4.79319	3.03925e-07
289	4.79319	4.79319	3.03925e-07
290	4.79319	4.79319	3.03925e-07
291	4.79319	4.79319	3.03925e-07
292	4.79319	4.79319	3.03925e-07
293	4.79319	4.79319	3.03925e-07
294	4.79319	4.79319	3.03925e-07
295	4.79319	4.79319	3.03925e-07
296	4.79319	4.79319	3.03925e-07
297	4.79319	4.79319	3.03925e-07
298	4.79319	4.79319	3.03925e-07
299	4.79319	4.79319	3.03925e-07
