BLOCK	ACTUAL_P	P_AVE	ERROR
260	1.46873	1.50434	0.00828553
261	1.5353	1.50446	0.00825463
262	1.59495	1.50481	0.00823035
263	1.51559	1.50485	0.00819916
264	1.47657	1.50474	0.0081688
265	1.61058	1.50514	0.00814773
266	1.59741	1.50549	0.00812448
267	1.58502	1.50579	0.00809951
268	1.35422	1.50522	0.00808901
269	1.47082	1.50509	0.00805995
270	1.82001	1.50626	0.00811405
271	1.42297	1.50595	0.00808993
272	1.29999	1.5052	0.00809555
273	1.60984	1.50558	0.00807497
274	1.48467	1.5055	0.00804585
275	1.5325	1.5056	0.0080172
276	1.47857	1.5055	0.00798875
277	1.44516	1.50528	0.00796288
278	1.546	1.50543	0.00793558
279	1.69095	1.5061	0.00793495
280	1.55764	1.50628	0.00790874
281	1.54778	1.50643	0.00788198
282	1.31605	1.50575	0.00788288
283	1.54464	1.50589	0.00785623
284	1.41948	1.50559	0.00783445
285	1.40463	1.50523	0.00781497
286	1.37556	1.50478	0.00780078
287	1.57657	1.50503	0.00777761
288	1.26533	1.5042	0.00779501
289	1.20498	1.50316	0.0078365
290	1.50991	1.50318	0.00780951
291	1.33483	1.50261	0.00780407
292	1.76242	1.5035	0.00782791
293	1.72887	1.50426	0.00783889
294	1.59618	1.50458	0.00781846
295	1.6723	1.50515	0.0078126
296	1.35899	1.50465	0.0078018
297	1.4659	1.50452	0.00777662
298	1.64873	1.50501	0.00776556
299	1.39689	1.50464	0.00774801
300	1.67927	1.50523	0.00774401
301	1.49272	1.50518	0.0077184
302	1.54567	1.50532	0.007694
303	1.51666	1.50536	0.0076687
304	1.3737	1.50492	0.00765569
305	1.41355	1.50462	0.00763645
306	1.42092	1.50435	0.00761639
307	1.39114	1.50398	0.00760051
308	1.48025	1.5039	0.00757622
309	1.67454	1.50446	0.0075718
310	1.49304	1.50442	0.00754746
311	1.85441	1.50554	0.00760663
312	1.62098	1.50591	0.00759125
313	1.36948	1.50548	0.0075795
314	1.47809	1.50539	0.00755586
315	1.29033	1.50471	0.00756266
316	1.53409	1.5048	0.0075393
317	1.82294	1.50581	0.00758201
318	1.37571	1.5054	0.0075692
319	1.63785	1.50581	0.00755685
320	1.66198	1.5063	0.00754898
321	1.43593	1.50608	0.00752864
322	1.43439	1.50586	0.00750855
323	1.45585	1.5057	0.0074869
324	1.49349	1.50566	0.00746389
325	1.70022	1.50626	0.00746489
326	1.34224	1.50576	0.00745893
327	1.70425	1.50637	0.00746078
328	1.56613	1.50655	0.00744025
329	1.60123	1.50684	0.0074232
330	1.58675	1.50708	0.00740466
331	1.41664	1.50681	0.00738733
332	1.55155	1.50694	0.0073663
333	1.69174	1.5075	0.00736506
334	1.47483	1.5074	0.00734366
335	1.37827	1.50701	0.00733184
336	1.59338	1.50727	0.00731453
337	1.22355	1.50643	0.00734111
338	1.45902	1.50629	0.00732073
339	1.70912	1.50689	0.00732355
340	1.36578	1.50647	0.00731376
341	1.50291	1.50646	0.00729232
342	1.30115	1.50586	0.00729566
343	1.45781	1.50572	0.00727574
344	1.46985	1.50562	0.00725534
345	1.57426	1.50581	0.00723703
346	1.4835	1.50575	0.0072164
347	1.31684	1.50521	0.00721611
348	1.28635	1.50458	0.00722273
349	1.42926	1.50436	0.00720526
350	1.53547	1.50445	0.00718522
351	1.47721	1.50437	0.00716517
352	1.35622	1.50395	0.00715716
353	1.45547	1.50381	0.00713821
354	1.64292	1.50421	0.00712885
355	1.38564	1.50387	0.00711659
356	1.49954	1.50386	0.00709661
357	1.43358	1.50366	0.00707946
358	1.74339	1.50433	0.00709128
359	1.67017	1.5048	0.00708656
360	1.85688	1.50577	0.00713404
361	1.63488	1.50613	0.00712324
362	1.2915	1.50554	0.00712819
363	1.52657	1.5056	0.00710879
364	1.48292	1.50553	0.00708954
365	1.48702	1.50548	0.00707029
366	1.51861	1.50552	0.00705107
367	1.47645	1.50544	0.0070323
368	1.47951	1.50537	0.00701354
369	1.47654	1.50529	0.00699497
370	1.4038	1.50502	0.00698144
371	1.30728	1.50448	0.00698294
372	1.5512	1.50461	0.0069653
373	1.63696	1.50496	0.00695566
374	1.42826	1.50476	0.00694008
375	1.60363	1.50502	0.00692658
376	1.38116	1.50469	0.00691599
377	1.28709	1.50412	0.00692169
378	1.3993	1.50384	0.00690893
379	1.38563	1.50353	0.00689773
380	1.62059	1.50384	0.00688646
381	1.74739	1.50447	0.00689799
382	1.55585	1.50461	0.00688124
383	1.85222	1.50552	0.00692287
384	1.81345	1.50632	0.00695113
385	1.37129	1.50597	0.00694192
386	1.45214	1.50583	0.00692534
387	1.40354	1.50556	0.00691248
388	1.34048	1.50514	0.00690775
389	1.32389	1.50467	0.00690569
390	1.47076	1.50459	0.00688853
391	1.44363	1.50443	0.00687267
392	1.37881	1.50411	0.00686261
393	1.49566	1.50409	0.00684518
394	1.37822	1.50377	0.00683526
395	1.51854	1.50381	0.00681806
396	1.69898	1.5043	0.00681863
397	1.47374	1.50422	0.00680189
398	1.3988	1.50396	0.00678995
399	1.64487	1.50431	0.00678211
400	1.43584	1.50414	0.00676732
401	1.4383	1.50397	0.00675243
402	1.50119	1.50397	0.00673564
403	1.37422	1.50365	0.00672662
404	1.51122	1.50366	0.00670999
405	1.31269	1.50319	0.00670997
406	1.59887	1.50343	0.00669758
407	1.44946	1.5033	0.00668244
408	1.46949	1.50321	0.00666658
409	1.66566	1.50361	0.0066621
410	1.29757	1.50311	0.00666478
411	1.5435	1.50321	0.00664928
412	1.55074	1.50332	0.00663415
413	1.46012	1.50322	0.00661891
414	1.48716	1.50318	0.00660303
415	1.47795	1.50312	0.0065874
416	1.40598	1.50288	0.0065757
417	1.67445	1.5033	0.00657279
418	1.58903	1.5035	0.00656027
419	1.38763	1.50322	0.00655044
420	1.6084	1.50347	0.00653963
421	1.81527	1.50421	0.00656589
422	1.61847	1.50449	0.00655592
423	1.53946	1.50457	0.00654094
424	1.43203	1.5044	0.00652775
425	1.17151	1.50361	0.00655921
426	1.53122	1.50368	0.00654413
427	1.57797	1.50385	0.00653112
428	1.51371	1.50388	0.0065159
429	1.6014	1.5041	0.00650468
430	1.58928	1.5043	0.00649257
431	1.45175	1.50418	0.00647865
432	1.57088	1.50433	0.00646549
433	1.35151	1.50398	0.00646018
434	1.3351	1.50359	0.00645701
435	1.64348	1.50391	0.00645017
436	1.80864	1.50461	0.00647313
437	1.645	1.50493	0.00646628
438	1.54241	1.50502	0.00645209
439	1.46361	1.50492	0.00643808
440	1.49587	1.5049	0.00642348
441	1.41401	1.5047	0.00641222
442	1.40071	1.50446	0.00640203
443	1.4367	1.50431	0.0063894
