Blocchi	Price	Error
134	14.8163	0.17609
135	14.7991	0.175626
136	14.7947	0.174386
137	14.787	0.17328
138	14.7729	0.172594
139	14.7691	0.17139
140	14.7481	0.171454
141	14.7555	0.170393
142	14.7383	0.170056
143	14.7264	0.16928
144	14.7481	0.169488
145	14.736	0.16875
146	14.7436	0.167767
147	14.7739	0.169354
148	14.7499	0.169911
149	14.7418	0.168964
150	14.734	0.168014
151	14.7313	0.166919
152	14.7142	0.166697
153	14.7286	0.166232
154	14.7245	0.165202
155	14.7445	0.165356
156	14.7496	0.164372
157	14.7595	0.163617
158	14.7607	0.162582
159	14.7618	0.161561
160	14.7505	0.160946
161	14.7416	0.160191
162	14.7385	0.159229
163	14.7692	0.161195
164	14.7844	0.160935
165	14.8037	0.161106
166	14.822	0.16118
167	14.8311	0.160472
168	14.8333	0.159528
169	14.8246	0.158816
170	14.8273	0.157902
171	14.8459	0.158073
172	14.8298	0.157972
173	14.8423	0.157554
174	14.825	0.157605
175	14.8425	0.157677
176	14.821	0.158243
177	14.8352	0.157986
178	14.8311	0.15715
179	14.8374	0.156398
180	14.846	0.155765
181	14.8596	0.155498
182	14.8519	0.154837
183	14.8664	0.154674
184	14.8659	0.153831
185	14.8701	0.153053
186	14.8681	0.152241
187	14.8542	0.152058
188	14.8636	0.151538
189	14.8552	0.150966
190	14.8686	0.150765
191	14.8724	0.150021
192	14.8635	0.149505
193	14.8657	0.148745
194	14.8565	0.148265
195	14.8587	0.14752
196	14.8569	0.146777
197	14.8708	0.146693
198	14.8632	0.146149
199	14.8708	0.14561
200	14.8618	0.145156
201	14.8825	0.145895
202	14.893	0.145553
203	14.8969	0.144887
204	14.8844	0.144715
205	14.8783	0.144136
206	14.9044	0.14578
207	14.901	0.145112
208	14.8997	0.144419
209	14.9082	0.143975
210	14.9036	0.143361
211	14.9172	0.143321
212	14.9281	0.143063
213	14.9551	0.144932
214	14.9536	0.144262
215	14.9476	0.143715
216	14.9516	0.143104
217	14.9569	0.142542
218	14.9649	0.142109
219	14.9655	0.14146
220	14.9637	0.140827
221	14.9606	0.140223
222	14.9618	0.139595
223	14.9441	0.140097
224	14.9405	0.139517
225	14.9346	0.139022
226	14.9346	0.138405
227	14.9329	0.137805
228	14.9482	0.13805
229	14.9529	0.137527
230	14.9536	0.13693
231	14.9514	0.136354
232	14.9558	0.135839
233	14.9532	0.13528
234	14.9413	0.135231
235	14.9385	0.134683
236	14.9465	0.134351
237	14.9595	0.134417
238	14.9598	0.133851
239	14.9602	0.133291
240	14.9559	0.132805
241	14.9606	0.132337
242	14.9552	0.131902
243	14.9621	0.131544
244	14.9703	0.131256
245	14.9684	0.130733
246	14.9677	0.130203
247	14.9592	0.129954
248	14.9536	0.129548
249	14.9557	0.129043
250	14.9719	0.129553
251	14.9744	0.129059
252	14.9869	0.129156
253	14.9889	0.128659
254	14.9937	0.128243
255	14.9985	0.127829
256	15.0056	0.127523
257	15.021	0.12796
258	15.0263	0.127572
259	15.0293	0.127114
260	15.0226	0.126801
261	15.0185	0.126381
262	15.028	0.126256
263	15.0283	0.125776
264	15.0349	0.125469
265	15.0429	0.125256
266	15.0387	0.124858
267	15.0455	0.124577
268	15.0398	0.124241
269	15.0491	0.124124
270	15.0607	0.124204
271	15.0624	0.123758
272	15.0526	0.123689
273	15.0705	0.124519
274	15.063	0.124286
275	15.0685	0.123955
276	15.0679	0.123507
277	15.0595	0.123346
278	15.0631	0.122953
279	15.0647	0.122522
280	15.055	0.122467
281	15.0487	0.122192
282	15.0478	0.121761
283	15.0566	0.121649
284	15.0536	0.121257
285	15.0597	0.120982
286	15.0722	0.121207
287	15.0721	0.120784
288	15.077	0.120467
289	15.074	0.120088
290	15.0697	0.119749
291	15.0642	0.119466
292	15.062	0.119076
293	15.0581	0.118731
294	15.0635	0.118449
295	15.0597	0.118108
296	15.0638	0.117781
297	15.0682	0.117465
298	15.0799	0.117646
299	15.0882	0.117551
300	15.0911	0.117193
301	15.0947	0.116858
302	15.0986	0.116536
303	15.1036	0.116261
304	15.1101	0.116058
305	15.1135	0.115727
306	15.1052	0.115646
307	15.099	0.115438
308	15.1063	0.115299
309	15.0965	0.115346
310	15.0932	0.11502
311	15.09	0.114696
312	15.0774	0.115019
313	15.0777	0.114652
314	15.0746	0.114329
315	15.0827	0.114256
316	15.0716	0.114435
317	15.0736	0.114091
318	15.064	0.114137
319	15.0688	0.113879
320	15.0737	0.113628
321	15.0727	0.113277
322	15.0718	0.112928
323	15.0658	0.112737
324	15.0713	0.112524
325	15.0755	0.112255
326	15.0726	0.111948
