BLOCK	ACTUAL_V	V_AVE	ERROR
259	-0.423931	-0.442129	0.00185548
260	-0.446773	-0.442147	0.00184843
261	-0.460954	-0.442219	0.00184275
262	-0.447384	-0.442239	0.00183582
263	-0.447604	-0.442259	0.00182896
264	-0.437086	-0.44224	0.00182213
265	-0.44637	-0.442255	0.00181533
266	-0.437177	-0.442236	0.0018086
267	-0.48628	-0.442401	0.00180933
268	-0.450374	-0.442431	0.00180283
269	-0.445962	-0.442444	0.00179617
270	-0.441006	-0.442439	0.00178953
271	-0.463346	-0.442516	0.00178459
272	-0.41538	-0.442416	0.00178081
273	-0.430575	-0.442373	0.00177482
274	-0.44522	-0.442383	0.00176837
275	-0.424462	-0.442318	0.00176314
276	-0.476288	-0.442441	0.00176104
277	-0.442336	-0.442441	0.00175469
278	-0.464278	-0.442519	0.00175013
279	-0.461757	-0.442588	0.00174522
280	-0.441664	-0.442585	0.00173899
281	-0.449696	-0.44261	0.00173298
282	-0.459341	-0.442669	0.00172785
283	-0.452509	-0.442704	0.0017221
284	-0.464006	-0.442779	0.00171766
285	-0.408819	-0.44266	0.00171577
286	-0.440433	-0.442652	0.00170978
287	-0.433499	-0.44262	0.00170412
288	-0.456721	-0.442669	0.00169891
289	-0.427332	-0.442616	0.00169386
290	-0.440037	-0.442607	0.00168804
291	-0.452719	-0.442642	0.0016826
292	-0.455778	-0.442687	0.00167744
293	-0.465431	-0.442765	0.00167351
294	-0.46252	-0.442832	0.00166917
295	-0.461158	-0.442894	0.00166466
296	-0.418801	-0.442813	0.00166103
297	-0.431331	-0.442774	0.00165589
298	-0.416813	-0.442687	0.00165262
299	-0.444753	-0.442694	0.00164711
300	-0.422358	-0.442626	0.00164301
301	-0.4393	-0.442615	0.00163759
302	-0.450158	-0.44264	0.00163236
303	-0.420138	-0.442566	0.00162866
304	-0.500088	-0.442755	0.00163425
305	-0.449575	-0.442777	0.00162905
306	-0.455044	-0.442817	0.00162422
307	-0.445151	-0.442825	0.00161895
308	-0.449066	-0.442845	0.00161382
309	-0.459506	-0.442899	0.00160949
310	-0.476708	-0.443008	0.00160799
311	-0.456551	-0.443052	0.00160341
312	-0.423508	-0.442989	0.0015995
313	-0.426539	-0.442937	0.00159525
314	-0.465442	-0.443008	0.00159178
315	-0.410629	-0.442905	0.00159004
316	-0.416269	-0.442821	0.00158724
317	-0.451164	-0.442847	0.00158245
318	-0.369918	-0.442618	0.00159401
319	-0.451027	-0.442644	0.00158923
320	-0.413479	-0.442553	0.00158687
321	-0.467614	-0.442631	0.00158385
322	-0.452142	-0.442661	0.00157921
323	-0.387449	-0.44249	0.00158354
324	-0.487395	-0.442629	0.00158471
325	-0.455557	-0.442668	0.00158033
326	-0.465484	-0.442738	0.00157703
327	-0.453727	-0.442772	0.00157257
328	-0.471316	-0.442859	0.00157018
329	-0.354644	-0.442591	0.00158813
330	-0.446865	-0.442604	0.00158338
331	-0.41761	-0.442528	0.00158039
332	-0.425779	-0.442478	0.00157644
333	-0.402197	-0.442357	0.00157634
334	-0.414842	-0.442274	0.00157377
335	-0.481152	-0.442391	0.00157334
336	-0.407879	-0.442288	0.00157201
337	-0.4275	-0.442244	0.00156796
338	-0.474085	-0.442338	0.00156615
339	-0.434478	-0.442315	0.0015617
340	-0.461049	-0.44237	0.00155808
341	-0.460975	-0.442425	0.00155446
342	-0.456805	-0.442467	0.00155048
343	-0.456488	-0.442508	0.0015465
344	-0.471774	-0.442593	0.00154435
345	-0.445474	-0.442601	0.00153989
346	-0.495051	-0.442753	0.00154289
347	-0.459774	-0.442802	0.00153922
348	-0.463138	-0.44286	0.0015359
349	-0.474693	-0.442951	0.00153421
350	-0.474658	-0.443042	0.0015325
351	-0.459897	-0.44309	0.00152888
352	-0.414331	-0.443008	0.00152672
353	-0.390765	-0.44286	0.00152955
354	-0.458187	-0.442903	0.00152585
355	-0.420709	-0.442841	0.00152283
356	-0.435751	-0.442821	0.00151868
357	-0.441775	-0.442818	0.00151443
358	-0.472927	-0.442902	0.00151253
359	-0.386898	-0.442746	0.00151634
360	-0.488962	-0.442875	0.00151756
361	-0.436321	-0.442856	0.00151346
362	-0.47067	-0.442933	0.00151123
363	-0.445171	-0.442939	0.00150708
364	-0.445864	-0.442947	0.00150296
365	-0.476701	-0.44304	0.00150168
366	-0.457707	-0.44308	0.00149812
367	-0.443446	-0.443081	0.00149403
368	-0.427737	-0.443039	0.00149056
369	-0.387383	-0.442888	0.00149413
370	-0.440815	-0.442883	0.0014901
371	-0.45159	-0.442906	0.00148627
372	-0.442509	-0.442905	0.00148227
373	-0.446932	-0.442916	0.00147834
374	-0.494128	-0.443053	0.00148071
375	-0.452043	-0.443077	0.00147696
376	-0.425702	-0.443031	0.00147375
377	-0.436115	-0.443012	0.00146996
378	-0.421904	-0.442957	0.00146713
379	-0.452257	-0.442981	0.00146346
380	-0.431674	-0.442951	0.00145992
381	-0.391581	-0.442817	0.0014623
382	-0.4841	-0.442925	0.00146246
383	-0.431533	-0.442895	0.00145894
384	-0.476365	-0.442982	0.00145774
385	-0.422567	-0.442929	0.00145492
386	-0.44929	-0.442945	0.00145124
387	-0.477954	-0.443036	0.00145031
388	-0.442444	-0.443034	0.00144657
389	-0.483614	-0.443139	0.00144661
390	-0.461518	-0.443186	0.00144367
391	-0.441878	-0.443183	0.00143998
392	-0.449217	-0.443198	0.00143639
393	-0.462592	-0.443247	0.00143358
394	-0.457452	-0.443283	0.0014304
395	-0.413598	-0.443208	0.00142875
396	-0.428959	-0.443172	0.00142559
397	-0.459743	-0.443214	0.00142261
398	-0.434755	-0.443193	0.0014192
399	-0.410412	-0.443111	0.00141802
400	-0.409827	-0.443027	0.00141691
401	-0.424743	-0.442982	0.00141411
402	-0.402343	-0.442881	0.0014142
403	-0.496062	-0.443013	0.00141684
404	-0.443435	-0.443014	0.00141333
405	-0.422865	-0.442964	0.00141072
406	-0.479139	-0.443053	0.00141005
407	-0.480552	-0.443145	0.0014096
408	-0.441149	-0.44314	0.00140615
409	-0.424405	-0.443094	0.00140346
410	-0.448598	-0.443108	0.0014001
411	-0.361781	-0.44291	0.0014106
412	-0.414655	-0.442841	0.00140885
413	-0.43205	-0.442815	0.00140568
414	-0.464692	-0.442868	0.00140328
415	-0.478367	-0.442954	0.0014025
416	-0.432844	-0.442929	0.00139934
417	-0.337644	-0.442677	0.00141858
418	-0.392273	-0.442556	0.0014203
419	-0.462776	-0.442605	0.00141773
420	-0.470508	-0.442671	0.00141591
421	-0.456624	-0.442704	0.00141293
422	-0.463702	-0.442754	0.00141046
423	-0.447764	-0.442766	0.00140718
424	-0.49439	-0.442887	0.00140912
425	-0.463102	-0.442935	0.0014066
426	-0.407868	-0.442853	0.00140571
427	-0.451152	-0.442872	0.00140255
428	-0.443871	-0.442874	0.00139927
429	-0.463635	-0.442923	0.00139685
430	-0.480981	-0.443011	0.0013964
431	-0.426664	-0.442973	0.00139368
432	-0.444677	-0.442977	0.00139046
433	-0.43805	-0.442966	0.00138729
434	-0.449805	-0.442982	0.00138419
435	-0.437713	-0.44297	0.00138106
436	-0.433154	-0.442947	0.00137807
437	-0.428269	-0.442914	0.00137533
438	-0.439925	-0.442907	0.0013722
439	-0.458969	-0.442943	0.00136957
440	-0.449432	-0.442958	0.00136653
441	-0.454619	-0.442985	0.00136369
442	-0.476643	-0.443061	0.00136273
443	-0.418028	-0.443004	0.00136082
444	-0.452658	-0.443026	0.00135793
445	-0.408716	-0.442949	0.00135707
446	-0.459012	-0.442985	0.0013545
447	-0.469932	-0.443045	0.00135281
448	-0.434198	-0.443025	0.00134994
449	-0.479407	-0.443106	0.00134936
450	-0.447116	-0.443115	0.00134639
451	-0.445726	-0.443121	0.00134342
452	-0.436133	-0.443106	0.00134054
453	-0.453079	-0.443128	0.00133776
454	-0.465347	-0.443177	0.00133571
455	-0.425207	-0.443137	0.00133336
456	-0.490049	-0.44324	0.00133439
457	-0.459286	-0.443275	0.00133194
458	-0.45177	-0.443294	0.00132916
459	-0.41513	-0.443232	0.00132768
460	-0.438068	-0.443221	0.00132484
461	-0.444785	-0.443224	0.00132197
462	-0.445253	-0.443229	0.00131911
463	-0.437751	-0.443217	0.00131632
464	-0.448561	-0.443229	0.00131353
465	-0.46643	-0.443278	0.00131165
466	-0.494318	-0.443388	0.0013134
467	-0.452721	-0.443408	0.00131074
468	-0.45289	-0.443428	0.0013081
469	-0.401846	-0.44334	0.00130831
470	-0.402041	-0.443252	0.00130848
471	-0.483327	-0.443337	0.00130846
472	-0.470405	-0.443394	0.00130695
473	-0.43584	-0.443378	0.00130428
474	-0.431045	-0.443352	0.00130179
475	-0.445318	-0.443356	0.00129905
476	-0.457037	-0.443385	0.00129664
477	-0.43684	-0.443371	0.001294
478	-0.471406	-0.44343	0.00129262
479	-0.426013	-0.443394	0.00129043
480	-0.464219	-0.443437	0.00128847
481	-0.482019	-0.443517	0.00128829
482	-0.456201	-0.443543	0.00128588
483	-0.405369	-0.443464	0.00128565
484	-0.459802	-0.443498	0.00128343
485	-0.431718	-0.443474	0.00128102
486	-0.477361	-0.443544	0.00128028
487	-0.396286	-0.443447	0.00128132
488	-0.455697	-0.443472	0.00127894
489	-0.467036	-0.44352	0.00127723
490	-0.421094	-0.443474	0.00127545
491	-0.432821	-0.443452	0.00127303
492	-0.486109	-0.443539	0.0012734
493	-0.423896	-0.443499	0.00127144
494	-0.448577	-0.44351	0.0012689
495	-0.441073	-0.443505	0.00126635
496	-0.45846	-0.443535	0.00126416
497	-0.413082	-0.443473	0.0012631
498	-0.464155	-0.443515	0.00126124
499	-0.433854	-0.443496	0.00125886
500	-0.425319	-0.443459	0.00125687
501	-0.429499	-0.443431	0.00125467
502	-0.409574	-0.443364	0.00125398
503	-0.427252	-0.443332	0.0012519
504	-0.424527	-0.443295	0.00124997
505	-0.472318	-0.443352	0.00124882
506	-0.502547	-0.443469	0.00125182
507	-0.41343	-0.44341	0.00125075
508	-0.462057	-0.443447	0.00124882
509	-0.497398	-0.443553	0.00125086
510	-0.468388	-0.443601	0.00124936
511	-0.432423	-0.443579	0.0012471
512	-0.450048	-0.443592	0.00124473
513	-0.438764	-0.443583	0.00124234
514	-0.438825	-0.443573	0.00123996
515	-0.44515	-0.443576	0.00123755
516	-0.463298	-0.443615	0.00123574
