BLOCK	ACTUAL_V	V_AVE	ERROR
296	4.84679	5.46482	0.36951
297	6.35184	5.4678	0.368278
298	5.63745	5.46837	0.367043
299	3.96641	5.46335	0.36585
300	5.60797	5.46383	0.364631
301	5.67974	5.46455	0.36342
302	5.36167	5.46421	0.362217
303	5.39408	5.46398	0.361021
304	4.8253	5.46188	0.35984
305	4.63027	5.45915	0.35867
306	5.19023	5.45827	0.357499
307	5.22969	5.45753	0.356336
308	5.08882	5.45633	0.355181
309	4.28485	5.45254	0.354051
310	4.4021	5.44915	0.352926
311	5.28025	5.44861	0.351791
312	4.37668	5.44517	0.35068
313	5.05501	5.44392	0.349562
314	3.74446	5.43851	0.348491
315	5.0886	5.4374	0.347386
316	5.15116	5.4365	0.346288
317	4.27504	5.43283	0.345215
318	4.0541	5.4285	0.344157
319	4.66688	5.42611	0.343086
320	4.53517	5.42332	0.342025
321	5.52151	5.42363	0.34096
322	4.45737	5.42063	0.339914
323	4.90235	5.41902	0.338866
324	6.74975	5.42313	0.337845
325	4.83567	5.42132	0.33681
326	4.57358	5.41872	0.335787
327	6.60222	5.42234	0.33478
328	4.96481	5.42095	0.333762
329	6.16918	5.42322	0.332755
330	4.37224	5.42004	0.331762
331	5.12579	5.41915	0.330761
332	5.97218	5.42081	0.329769
333	5.12684	5.41993	0.32878
334	5.0832	5.41892	0.327797
335	5.22223	5.41834	0.326819
336	5.63838	5.41899	0.325847
337	4.7284	5.41694	0.324886
338	5.12938	5.41609	0.323926
339	5.70305	5.41694	0.322972
340	4.18901	5.41333	0.322042
341	4.07316	5.4094	0.321122
342	4.58664	5.40699	0.320192
343	3.76442	5.4022	0.319294
344	5.55777	5.40265	0.318366
345	5.56157	5.40311	0.317444
346	7.83698	5.41015	0.316604
347	4.04722	5.40622	0.315716
348	5.66752	5.40697	0.31481
349	4.43853	5.4042	0.31392
350	4.71446	5.40223	0.313029
351	5.80038	5.40336	0.31214
352	4.03894	5.39948	0.311277
353	3.7749	5.39488	0.310429
354	4.69231	5.3929	0.309559
355	5.09918	5.39207	0.308688
356	5.5381	5.39248	0.307821
357	4.64481	5.39039	0.306966
358	4.94219	5.38913	0.306111
359	5.89191	5.39053	0.305261
360	5.41673	5.39061	0.304413
361	7.87274	5.39748	0.303648
362	4.90877	5.39613	0.302812
363	4.82563	5.39456	0.301982
364	3.68059	5.38985	0.301189
365	6.00803	5.39155	0.300369
366	6.90308	5.39568	0.299576
367	4.65884	5.39367	0.298767
368	3.83023	5.38942	0.297985
369	5.15938	5.3888	0.297178
370	4.29012	5.38583	0.29639
371	4.57056	5.38363	0.295599
372	7.34694	5.38891	0.294852
373	4.31448	5.38603	0.294075
374	4.33681	5.38322	0.293302
375	6.67529	5.38667	0.29254
376	3.85011	5.38258	0.291791
377	5.58874	5.38313	0.291017
378	4.62845	5.38113	0.290254
379	4.28207	5.37823	0.289503
380	3.46026	5.37318	0.288785
381	7.14471	5.37783	0.288065
382	4.80714	5.37634	0.287314
383	4.42742	5.37386	0.286575
384	4.91413	5.37266	0.285831
385	4.07646	5.3693	0.285108
386	3.60014	5.36471	0.284407
387	4.60829	5.36276	0.283678
388	3.57424	5.35815	0.282985
389	4.54688	5.35606	0.282265
390	7.4147	5.36134	0.281591
391	7.39934	5.36656	0.280919
392	6.28187	5.36889	0.280212
393	4.40434	5.36644	0.279509
394	5.64472	5.36714	0.278801
395	5.70565	5.368	0.278096
