BLOCK	ACTUAL_V	V_AVE	ERROR
251	5.38398	6.05607	0.548603
252	4.94683	6.05167	0.546444
253	4.5304	6.04566	0.544317
254	5.38586	6.04306	0.54218
255	3.86471	6.03452	0.540122
256	5.25425	6.03147	0.53802
257	4.58168	6.02583	0.535956
258	4.28795	6.01909	0.533921
259	5.09785	6.01554	0.531872
260	5.91688	6.01516	0.529826
261	4.31912	6.00866	0.527836
262	4.07909	6.00129	0.525873
263	3.46041	5.99163	0.523962
264	4.36461	5.98547	0.522014
265	4.2742	5.97901	0.520084
266	5.23243	5.9762	0.518136
267	3.52502	5.96702	0.516277
268	4.96762	5.9633	0.514364
269	5.09341	5.96006	0.512462
270	4.66106	5.95525	0.510586
271	4.32149	5.94922	0.508738
272	5.72839	5.94841	0.506868
273	4.10925	5.94167	0.505056
274	4.42057	5.93612	0.503244
275	4.44137	5.93069	0.501443
276	6.85622	5.93404	0.499637
277	5.22015	5.93146	0.49784
278	7.03631	5.93544	0.496065
279	5.0439	5.93224	0.494298
280	3.95215	5.92517	0.492583
281	5.124	5.92232	0.490838
282	4.33929	5.9167	0.48913
283	3.88486	5.90952	0.487454
284	5.06597	5.90655	0.485747
285	4.25625	5.90076	0.484077
286	5.13366	5.89808	0.482392
287	5.20772	5.89568	0.480717
288	5.16766	5.89315	0.479054
289	3.89732	5.88624	0.477446
290	5.68311	5.88554	0.475801
291	5.05253	5.88268	0.474174
292	6.44221	5.8846	0.472554
293	5.72968	5.88407	0.470942
294	3.81104	5.87702	0.469393
295	3.50544	5.86898	0.46787
296	4.82697	5.86546	0.466303
297	5.35891	5.86375	0.464736
298	3.87135	5.85706	0.463225
299	3.79053	5.85015	0.461727
300	3.71509	5.84304	0.460243
301	4.68244	5.83918	0.45873
302	5.84475	5.8392	0.457211
303	5.12956	5.83686	0.455708
304	7.05647	5.84087	0.454226
305	5.54487	5.8399	0.452738
306	4.81477	5.83655	0.451271
307	4.48268	5.83214	0.449823
308	5.28198	5.83035	0.448366
309	4.70915	5.82672	0.446929
310	6.10461	5.82762	0.445489
311	5.06427	5.82517	0.444063
312	5.02796	5.82261	0.442647
313	5.69237	5.82219	0.441233
314	3.94652	5.81622	0.439868
315	4.59265	5.81234	0.438489
316	3.888	5.80625	0.437144
317	5.53782	5.8054	0.435765
318	4.27608	5.80059	0.434422
319	6.33745	5.80227	0.433063
320	5.66809	5.80185	0.43171
321	3.83644	5.79573	0.430408
322	4.28454	5.79104	0.429097
323	4.05149	5.78565	0.427803
324	5.1699	5.78375	0.426487
325	4.77616	5.78065	0.425186
326	8.0951	5.78775	0.423941
327	5.52027	5.78693	0.422645
328	4.00867	5.78151	0.421391
329	8.00831	5.78828	0.420165
330	3.74734	5.7821	0.418937
331	4.85614	5.7793	0.417681
332	4.6907	5.77602	0.416435
333	4.28606	5.77155	0.415209
334	4.35267	5.7673	0.413987
335	5.57022	5.76671	0.412752
336	6.97623	5.77031	0.411539
337	4.80199	5.76744	0.410328
338	5.02	5.76522	0.40912
339	4.5538	5.76165	0.407929
340	7.36492	5.76637	0.406756
341	5.73056	5.76626	0.405564
342	4.49424	5.76254	0.404395
343	4.86387	5.75992	0.403224
344	7.13027	5.76391	0.402072
345	9.60647	5.77504	0.401061
346	5.83683	5.77522	0.399902
347	4.63627	5.77194	0.398763
