Gen	Best	Mean	Err
236	89.8322	89.8322	3.69356e-06
237	89.8322	89.8322	3.69356e-06
238	89.8322	89.8322	3.69356e-06
239	89.8322	89.8322	3.69356e-06
240	89.4011	89.4011	4.15697e-06
241	89.0563	89.0563	4.57366e-06
242	88.327	88.327	1.3487e-06
243	87.8959	87.8959	9.53674e-07
244	87.7453	87.7453	3.69356e-06
245	87.3142	87.3142	4.15697e-06
246	86.87	86.87	9.53674e-07
247	86.87	86.87	9.53674e-07
248	86.87	86.87	9.53674e-07
249	86.87	86.87	9.53674e-07
250	86.87	86.87	9.53674e-07
251	86.87	86.87	9.53674e-07
252	86.87	86.87	9.53674e-07
253	85.9832	85.9832	4.57366e-06
254	85.9832	85.9832	4.57366e-06
255	85.952	85.952	2.33602e-06
256	85.952	85.952	2.33602e-06
257	84.763	84.763	1.90735e-06
258	84.763	84.763	1.90735e-06
259	84.763	84.763	1.90735e-06
260	84.4956	84.4956	2.52319e-06
261	84.4956	84.4956	2.52319e-06
262	84.4956	84.4956	2.52319e-06
263	84.3139	84.3139	2.6974e-06
264	83.7364	83.7364	9.53674e-07
265	82.0218	82.0218	1.3487e-06
266	82.0218	82.0218	1.3487e-06
267	82.0218	82.0218	1.3487e-06
268	82.0218	82.0218	1.3487e-06
269	82.0218	82.0218	1.3487e-06
270	81.8334	81.8334	3.30362e-06
271	81.7596	81.7596	4.0461e-06
272	81.5576	81.5576	4.37028e-06
273	81.5576	81.5576	4.37028e-06
274	81.5576	81.5576	4.37028e-06
275	81.5576	81.5576	4.37028e-06
276	80.7894	80.7894	3.56832e-06
277	80.7894	80.7894	3.56832e-06
278	80.093	80.093	2.52319e-06
279	80.093	80.093	2.52319e-06
280	80.093	80.093	2.52319e-06
281	80.093	80.093	2.52319e-06
282	80.093	80.093	2.52319e-06
283	80.093	80.093	2.52319e-06
284	80.093	80.093	2.52319e-06
285	80.093	80.093	2.52319e-06
286	80.093	80.093	2.52319e-06
287	80.093	80.093	2.52319e-06
288	79.8227	79.8227	2.13248e-06
289	79.8227	79.8227	2.13248e-06
290	79.81	79.81	2.13248e-06
291	79.81	79.81	2.13248e-06
292	79.81	79.81	2.13248e-06
293	79.81	79.81	2.13248e-06
294	79.3762	79.3762	2.52319e-06
295	79.3762	79.3762	2.52319e-06
296	79.3762	79.3762	2.52319e-06
297	79.3293	79.3293	3.16298e-06
298	78.4074	78.4074	2.33602e-06
299	78.4074	78.4074	2.33602e-06
300	78.4074	78.4074	2.33602e-06
301	74.4763	74.4763	2.33602e-06
302	74.4763	74.4763	2.33602e-06
303	74.4763	74.4763	2.33602e-06
304	74.2905	74.2905	2.6974e-06
305	74.2905	74.2905	2.6974e-06
306	74.2905	74.2905	2.6974e-06
307	74.2905	74.2905	2.6974e-06
308	74.2905	74.2905	2.6974e-06
309	74.2905	74.2905	2.6974e-06
